NumericID,Name_Master,configID,Name_Config,name,Category,SubCategory
DETAIL-000001,Tire,tire,,,Shop,Automobile
DETAIL-000003,Car,car-mercedes-benz,Mercedes-Benz,B-Class Electric Drive (B 250 e),Shop,Automobile
DETAIL-000004,Car,car-mercedes-benz,Mercedes-Benz,GLE Plug-In Hybrid - GLE 500 e 4MATIC,Shop,Automobile
DETAIL-000005,Car,car-mercedes-benz,Mercedes-Benz,C-Class Plug-In Hybrid (C 350 e),Shop,Automobile
DETAIL-000006,Car,car-mercedes-benz,Mercedes-Benz,B-Class electric drive,Shop,Automobile
DETAIL-000007,Car,car-mercedes-benz,Mercedes-Benz,GLC Plug-In Hybrid (GLC 350 e 4MATIC),Shop,Automobile
DETAIL-000018,Car,car-mercedes-benz,Mercedes-Benz,E-Class Plug-In Hybrid (E 350 e),Shop,Automobile
DETAIL-000019,Car,car-mercedes-benz,Mercedes-Benz,S-Class Plug-In Hybrid (S 500 e),Shop,Automobile
DETAIL-000020,Car,car-mercedes-benz,Mercedes-Benz,GLC (220 d 4MATIC),Shop,Automobile
DETAIL-000021,Car,car-mercedes-benz,Mercedes-Benz,C-Class e,Shop,Automobile
DETAIL-000022,Car,car-mercedes-benz,Mercedes-Benz,E-Class (E 220 d (Estate)),Shop,Automobile
DETAIL-000023,Car,car-mercedes-benz,Mercedes-Benz,E-Class (E 220 d),Shop,Automobile
DETAIL-000024,Car,car-mercedes-benz,Mercedes-Benz,S-Class Hybrid (S 300 BlueTEC HYBRID),Shop,Automobile
DETAIL-000025,Car,car-mercedes-benz,Mercedes-Benz,CLA-Class,Shop,Automobile
DETAIL-000026,Car,car-mercedes-benz,Mercedes-Benz,GLA-Class,Shop,Automobile
DETAIL-000027,Car,car-mercedes-benz,Mercedes-Benz,M-Class,Shop,Automobile
DETAIL-000028,Car,car-mercedes-benz,Mercedes-Benz,A-Class,Shop,Automobile
DETAIL-000029,Car,car-mercedes-benz,Mercedes-Benz,C-Class (C 250),Shop,Automobile
DETAIL-000031,Car,car-mercedes-benz,Mercedes-Benz,SLC (SLK 200 BlueEFFICIENCY),Shop,Automobile
DETAIL-000032,Car,car-mercedes-benz,Mercedes-Benz,B-Class,Shop,Automobile
DETAIL-000033,Car,car-mercedes-benz,Mercedes-Benz,E-Class BlueTEC Hybrid,Shop,Automobile
DETAIL-000034,Car,car-mercedes-benz,Mercedes-Benz,GLA (GLA 200),Shop,Automobile
DETAIL-000035,Car,car-mercedes-benz,Mercedes-Benz,S-Class Hybrid (S 400 h),Shop,Automobile
DETAIL-000036,Car,car-mercedes-benz,Mercedes-Benz,C-Class (C 180),Shop,Automobile
DETAIL-000037,Car,car-mercedes-benz,Mercedes-Benz,CLA (CLA 180),Shop,Automobile
DETAIL-000038,Car,car-mercedes-benz,Mercedes-Benz,GLE (GLE 500 4MATIC),Shop,Automobile
DETAIL-000039,Car,car-mercedes-benz,Mercedes-Benz,GLK-Class,Shop,Automobile
DETAIL-000040,Car,car-mercedes-benz,Mercedes-Benz,A-Class (A 180 BlueEFFICIENCY),Shop,Automobile
DETAIL-000041,Car,car-mercedes-benz,Mercedes-Benz,S-Class,Shop,Automobile
DETAIL-000042,Car,car-mercedes-benz,Mercedes-Benz,CLS (350 BlueEFFICIENCY),Shop,Automobile
DETAIL-000043,Car,car-mercedes-benz,Mercedes-Benz,E-Class Saloon,Shop,Automobile
DETAIL-000044,Car,car-mercedes-benz,Mercedes-Benz,B-Class (B 180 BlueEFFICIENCY),Shop,Automobile
DETAIL-000045,Car,car-mercedes-benz,Mercedes-Benz,CLS-Class,Shop,Automobile
DETAIL-000046,Car,car-mercedes-benz,Mercedes-Benz,E-Class (E 200),Shop,Automobile
DETAIL-000047,Car,car-mercedes-benz,Mercedes-Benz,C-Class,Shop,Automobile
DETAIL-000048,Car,car-mercedes-benz,Mercedes-Benz,SL (SL 350),Shop,Automobile
DETAIL-000049,Car,car-mercedes-benz,Mercedes-Benz,SL-Class,Shop,Automobile
DETAIL-000050,Car,car-mercedes-benz,Mercedes-Benz,S-Class (S 500),Shop,Automobile
DETAIL-000051,Car,car-gm,GM,Average,Shop,Automobile
DETAIL-000052,Car,car-toyota,Toyota,Land Cruiser Prado,Shop,Automobile
DETAIL-000054,Car,car-volkswagen,Volkswagen,e-up,Shop,Automobile
DETAIL-000080,Car,car-volkswagen,Volkswagen,Golf,Shop,Automobile
DETAIL-000081,Car,car-volkswagen,Volkswagen,Golf VII 1.6 TDI BlueMotion Technology,Shop,Automobile
DETAIL-000083,Car,car-volkswagen,Volkswagen,Passat,Shop,Automobile
DETAIL-000088,Car,car-audi,Audi,A6,Shop,Automobile
DETAIL-000089,Car,car-audi,Audi,A3 2.0 TDI,Shop,Automobile
DETAIL-000090,Car,car-volkswagen,Volkswagen,Polo,Shop,Automobile
DETAIL-000112,Car,car-volkswagen,Volkswagen,Average,Shop,Automobile
DETAIL-000115,Car,car-volkswagen,Volkswagen,up!,Shop,Automobile
DETAIL-000116,Car,car-volkswagen,Volkswagen,up!,Shop,Automobile
DETAIL-000117,Car,car-volkswagen,Volkswagen,Caddy,Shop,Automobile
DETAIL-000119,Tire,tire-truck-and-bus-tire,Truck and bus tire,,Shop,Automobile
DETAIL-000122,Tire,tire-passenger-cars,Passenger cars,,Shop,Automobile
DETAIL-000085,Argon,argon,,,Materials,Chemicals
DETAIL-000625,Nitrogen,nitrogen,,,Materials,Chemicals
DETAIL-000416,Chlorine dioxide,chlorine-dioxide,,,Materials,Chemicals
DETAIL-000807,Sodium,sodium-chlorate,Chlorate,,Materials,Chemicals
DETAIL-000082,Aqualure,aqualure-lacquer-aluminium,Lacquer aluminium,,Materials,Chemicals
DETAIL-000443,Chlormethane,chlormethane,,,Materials,Chemicals
DETAIL-000084,Aqualure,aqualure-lacquer-steel,Lacquer steel,,Materials,Chemicals
DETAIL-000726,Overprint,overprint,,,Materials,Chemicals
DETAIL-000727,Overprint varnishes,overprint-varnishes,,,Materials,Chemicals
DETAIL-000402,Chelates and Micronutrients,chelates-and-micronutrients,,,Materials,Chemicals
DETAIL-000128,Polyethylene (PE),polyethylene-pe,,,Materials,Chemicals
DETAIL-000793,Polypropylene (PE),polypropylene-pe,,,Materials,Chemicals
DETAIL-000166,Polyvinyl Chloride,polyvinyl-chloride,,,Materials,Chemicals
DETAIL-000155,Carbon,carbon-black,Black,,Materials,Chemicals
DETAIL-000819,Sunliquid,sunliquid,,,Materials,Chemicals
DETAIL-000518,De-icing fluids,de-icing-fluids,,,Materials,Chemicals
DETAIL-000524,Exolit,exolit-ammonium-polyphosphate,Ammonium polyphosphate,,Materials,Chemicals
DETAIL-000525,Exolit,exolit-op-phosphinates,OP phosphinates,,Materials,Chemicals
DETAIL-000734,PCF,pcf,,,Materials,Chemicals
DETAIL-000725,Organic Pigments,organic-pigments,,,Materials,Chemicals
DETAIL-000623,Natural Gas,natural-gas,,,Materials,Chemicals
DETAIL-000615,Lineal Alkyl Bencene (LAB),lineal-alkyl-bencene-lab,,,Materials,Chemicals
DETAIL-000808,Sodium,sodium-sulphate,Sulphate,,Materials,Chemicals
DETAIL-000602,Kuralon fiber,kuralon-fiber,,,Materials,Chemicals
DETAIL-000002,ABS (Acrylonitrile Butadiene Styrene),abs-acrylonitrile-butadiene-styrene,,,Materials,Chemicals
DETAIL-000126,BPA (Bisphenol-A),bpa-bisphenol-a,,,Materials,Chemicals
DETAIL-000167,Battery,battery-automotive,Automotive,,Materials,Parts & Components
DETAIL-000106,Battery,battery-it-application,IT Application,,Materials,Parts & Components
DETAIL-000547,Hydrogen peroxide,hydrogen-peroxide-super-pure,Super-pure,,Materials,Chemicals
DETAIL-000732,Paraformaldehyde,paraformaldehyde,,,Materials,Chemicals
DETAIL-000522,ELM,elm,,,Materials,Chemicals
DETAIL-000061,Amines,amines,,,Materials,Chemicals
DETAIL-000789,Peroxides,peroxides,,,Materials,Chemicals
DETAIL-000621,Methacrylic acid,methacrylic-acid,,,Materials,Chemicals
DETAIL-000820,TCDE,tcde,,,Materials,Chemicals
DETAIL-000523,Ethanol,ethanol,,,Materials,Chemicals
DETAIL-000517,Cyanodiester,cyanodiester,,,Materials,Chemicals
DETAIL-000809,Sodium,sodium-sulbactam-3,Sulbactam 3,,Materials,Chemicals
DETAIL-000810,Sodium,sodium-bicarbonate,Bicarbonate,,Materials,Chemicals
DETAIL-000612,Light Sodium Carbonate,light-sodium-carbonate,,,Materials,Chemicals
DETAIL-000519,Dense Sodium Carbonate,dense-sodium-carbonate,,,Materials,Chemicals
DETAIL-000811,Sodium,sodium-carbonate,Carbonate,,Materials,Chemicals
DETAIL-000527,Fertilizer,fertilizer-seed-treatment,Seed treatment,,Materials,Chemicals
DETAIL-000545,Fungicide,fungicide,,,Materials,Chemicals
DETAIL-000549,Insecticide,insecticide,,,Materials,Chemicals
DETAIL-000806,Soda Ash,soda-ash,,,Materials,Chemicals
DETAIL-000607,Latex,latex,,,Materials,Chemicals
DETAIL-000803,Rubber,rubber,,,Materials,Chemicals
DETAIL-000801,Reusable plastic crates (RPCs),reusable-plastic-crates-rpcs-foldable,Foldable,,Shop,Community capital goods
DETAIL-000171,Reusable plastic crates (RPCs),reusable-plastic-crates-rpcs-rigid-side,Rigid side,,Shop,Community capital goods
DETAIL-000802,Reusable plastic crates (RPCs),reusable-plastic-crates-rpcs-ifco,IFCO,,Shop,Community capital goods
DETAIL-000175,Air Conditioner,air-conditioner-residential,Residential,,Shop,Home equipment
DETAIL-000176,Air Conditioner,air-conditioner-commercial,Commercial,Store building,Shop,Home equipment
DETAIL-000177,Air Conditioner,air-conditioner-commercial,Commercial,Office building,Shop,Home equipment
DETAIL-003659,Wind Turbine,wind-turbine-g90-2-megawats,G90 2 Megawats,,Shop,Community capital goods
DETAIL-003660,Wind Turbine,wind-turbine-g114-2-megawats,G114 2 Megawats,,Shop,Community capital goods
DETAIL-003661,Wind Turbine,wind-turbine-g132-5-megawats,G132 5 Megawats,,Shop,Community capital goods
DETAIL-003662,Wind Turbine,wind-turbine-g128-5-megawats,G128 5 Megawats,,Shop,Community capital goods
DETAIL-000626,Office Chair,office-chair-knoll-office-chair,"KNOLL, Office Chair",,Shop,Furnitures
DETAIL-000830,Vending Machine,vending-machine,,,Shop,Community capital goods
DETAIL-000178,Power Drill,power-drill-corded,Corded,,Shop,Community capital goods
DETAIL-000179,Power Drill,power-drill-cordless,Cordless,,Shop,Community capital goods
DETAIL-000180,Solar Panels,solar-panels,,,Shop,Community capital goods
DETAIL-000131,Cable,cable,,,Shop,Community capital goods
DETAIL-000182,Wheel,wheel-aluminum,Aluminum,,Shop,Automobile
DETAIL-000183,Printer,printer-multifunction-printer,Multifunction printer,"Canon, multifunction",Shop,Electronics & IT 
DETAIL-000184,Printer,printer-multifunction-printer,Multifunction printer,"Canon, built-in facsimile",Shop,Electronics & IT 
DETAIL-000185,Camera,camera-reflex-camera,Reflex camera,"Canon, Single Lens Reflex camera system",Shop,Electronics & IT 
DETAIL-000186,Camera,camera-digital,Digital,Canon ,Shop,Electronics & IT 
DETAIL-000187,PC,pc-notebook,Notebook,Compal Netboo+M373k,Shop,Electronics & IT 
DETAIL-000188,Keyboard,keyboard-numeric,Numeric,,Shop,Electronics & IT 
DETAIL-000189,Keyboard,keyboard-normal,Normal,,Shop,Electronics & IT 
DETAIL-000190,PC,pc-desk-top,Desk Top,"Dell, OptiPlex 3030 all-in-one",Shop,Electronics & IT 
DETAIL-000191,PC,pc-desk-top,Desk Top,"Dell, OptiPlex 780 Mini Tower",Shop,Electronics & IT 
DETAIL-000192,PC,pc-desk-top,Desk Top,"Dell, OptiPlex 3010 Mini Tower",Shop,Electronics & IT 
DETAIL-000193,PC,pc-desk-top,Desk Top,"Dell, OptiPlex 9010 SFF",Shop,Electronics & IT 
DETAIL-000194,PC,pc-notebook,Notebook,"Dell, Latitude E5540",Shop,Electronics & IT 
DETAIL-000195,PC,pc-notebook,Notebook,"Dell, Latitude E6400",Shop,Electronics & IT 
DETAIL-000196,PC,pc-notebook,Notebook,"Dell, Latitude E3540",Shop,Electronics & IT 
DETAIL-000198,PC,pc-notebook,Notebook,"Dell, Latitude E5440",Shop,Electronics & IT 
DETAIL-000200,PC,pc-notebook,Notebook,"Dell, Latitude E3440",Shop,Electronics & IT 
DETAIL-000201,PC,pc-notebook,Notebook,"Dell, Latitude E6540",Shop,Electronics & IT 
DETAIL-000202,PC,pc-notebook,Notebook,"Dell, Latitude E6440",Shop,Electronics & IT 
DETAIL-000203,PC,pc-notebook,Notebook,"Dell, Latitude E7440",Shop,Electronics & IT 
DETAIL-000204,PC,pc-notebook,Notebook,"Dell, Latitude E7240",Shop,Electronics & IT 
DETAIL-000205,Server,server-dell-poweredge-r710,"Dell, PowerEdge R710",,Shop,Electronics & IT 
DETAIL-000206,PC,pc-notebook,Notebook,"Elitegroup computer systems, E11IS",Shop,Electronics & IT 
DETAIL-000207,Printer,printer-color-laser-printer,Color Laser Printer,"Fuji, C2665dnf",Shop,Electronics & IT 
DETAIL-000208,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, 2150cdn ",Shop,Electronics & IT 
DETAIL-000209,Router,router-fuji-c1760nw,"Fuji, C1760nw",,Shop,Electronics & IT 
DETAIL-000210,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, H625cdw",Shop,Electronics & IT 
DETAIL-000211,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, H825cdw",Shop,Electronics & IT 
DETAIL-000212,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, S2825cdn",Shop,Electronics & IT 
DETAIL-000213,Printer,printer-color-laser-printer,Color Laser Printer,"Fuji, C2660dn",Shop,Electronics & IT 
DETAIL-000214,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, S3845cdn",Shop,Electronics & IT 
DETAIL-000215,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, S3840cdn",Shop,Electronics & IT 
DETAIL-000217,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, H815dw",Shop,Electronics & IT 
DETAIL-000218,Printer,printer-multifunction-printer,Multifunction printer,"Fuji, S2815dn",Shop,Electronics & IT 
DETAIL-000219,PC,pc-desk-top,Desk Top,"Fujitsu, ESPRIMO D582/E",Shop,Electronics & IT 
DETAIL-000220,Server,server-fujitsu-primergy-bx2560-m2,"Fujitsu, PRIMERGY BX2560 M2",,Shop,Electronics & IT 
DETAIL-000221,Printer,printer-multifunction-printer,Multifunction printer,HP ScanJet 7500,Shop,Electronics & IT 
DETAIL-000222,Printer,printer-multifunction-printer,Multifunction printer,HP Envy 120 InkJet Printer,Shop,Electronics & IT 
DETAIL-000223,Monitor,monitor-20”-led,20” LED,HP EliteDisplay E201 Backlit,Shop,Electronics & IT 
DETAIL-000224,Monitor,monitor-24”-led,24” LED,HP Compaq LA2405x Backlit,Shop,Electronics & IT 
DETAIL-000225,Monitor,monitor-21.5”-lcd,21.5” LCD,HP Compaq LA2206xc,Shop,Electronics & IT 
DETAIL-000226,PC,pc-desk-top,Desk Top,HP Compaq Elite 8300 MT PC,Shop,Electronics & IT 
DETAIL-000227,PC,pc-desk-top,Desk Top,HP Compaq 8200 Elite SFF Business PC,Shop,Electronics & IT 
DETAIL-000228,PC,pc-notebook,Notebook,HP EliteBook 8570w,Shop,Electronics & IT 
DETAIL-000229,PC,pc-notebook,Notebook,HP EliteBook 8460p,Shop,Electronics & IT 
DETAIL-000230,PC,pc-desk-top,Desk Top,HP Compaq Elite 8300 USDT PC,Shop,Electronics & IT 
DETAIL-000231,PC,pc-notebook,Notebook,HP EliteBook Folio 9470m,Shop,Electronics & IT 
DETAIL-000232,Printer,printer-high-speed-printer,High-speed Printer,HP LaserJet Enterprise M4555fskm ,Shop,Electronics & IT 
DETAIL-000233,TV,tv-50”-tft-lcd,50” TFT-LCD,,Shop,Electronics & IT 
DETAIL-000238,Printer,printer-multifunction-printer,Multifunction printer,"Konica, C458",Shop,Electronics & IT 
DETAIL-000239,Printer,printer-multifunction-printer,Multifunction printer,"Konica, C558",Shop,Electronics & IT 
DETAIL-000240,Printer,printer-multifunction-printer,Multifunction printer,"Konica, C658",Shop,Electronics & IT 
DETAIL-000241,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX810DFE ",Shop,Electronics & IT 
DETAIL-000242,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX811DFE ",Shop,Electronics & IT 
DETAIL-000243,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX812DFE ",Shop,Electronics & IT 
DETAIL-000244,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX310DN ",Shop,Electronics & IT 
DETAIL-000245,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX710DE ",Shop,Electronics & IT 
DETAIL-000246,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX711DE ",Shop,Electronics & IT 
DETAIL-000247,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX410DE ",Shop,Electronics & IT 
DETAIL-000248,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX511DE ",Shop,Electronics & IT 
DETAIL-000249,Printer,printer-ke,ke,"Lexmark, MS810DN ",Shop,Electronics & IT 
DETAIL-000250,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CX310DN ",Shop,Electronics & IT 
DETAIL-000251,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MX611DE ",Shop,Electronics & IT 
DETAIL-000252,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS810DE ",Shop,Electronics & IT 
DETAIL-000253,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS811DN ",Shop,Electronics & IT 
DETAIL-000254,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS312DN ",Shop,Electronics & IT 
DETAIL-000255,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS415DN ",Shop,Electronics & IT 
DETAIL-000256,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS310DN ",Shop,Electronics & IT 
DETAIL-000257,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CX510DE ",Shop,Electronics & IT 
DETAIL-000258,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS410DN ",Shop,Electronics & IT 
DETAIL-000259,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CS310DN ",Shop,Electronics & IT 
DETAIL-000260,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS510DN ",Shop,Electronics & IT 
DETAIL-000261,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS812DE ",Shop,Electronics & IT 
DETAIL-000262,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS812DN ",Shop,Electronics & IT 
DETAIL-000263,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS315DN ",Shop,Electronics & IT 
DETAIL-000264,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CX410DE ",Shop,Electronics & IT 
DETAIL-000265,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS610DE ",Shop,Electronics & IT 
DETAIL-000266,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, M5163 ",Shop,Electronics & IT 
DETAIL-000267,Printer,printer-mono-laser-printer,Mono Laser Printer,"Lexmark, MS610DN ",Shop,Electronics & IT 
DETAIL-000268,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CS510DE ",Shop,Electronics & IT 
DETAIL-000269,Printer,printer-color-laser-printer,Color Laser Printer,"Lexmark, CS410DN ",Shop,Electronics & IT 
DETAIL-000271,Mouse,mouse-cordless,Cordless,"Logitech, M185",Shop,Electronics & IT 
DETAIL-000272,Server,server-nec-corporation,NEC Corporation,,Shop,Electronics & IT 
DETAIL-000273,Monitor,monitor-42”-lcd,42” LCD,Qisda,Shop,Electronics & IT 
DETAIL-000274,Monitor,"""monitor-""""27""""""""-lcd""""""","""27"""" LCD""",Qisda,Shop,Electronics & IT 
DETAIL-000275,Monitor,monitor-24”-lcd,24” LCD,Qisda,Shop,Electronics & IT 
DETAIL-000276,Printer,printer-scanner,Scanner,Qisda,Shop,Electronics & IT 
DETAIL-000277,Projector,projector-vip-240w,VIP 240W,Qisda,Shop,Electronics & IT 
DETAIL-000278,Projector,projector-vip-190w,VIP 190W,Qisda,Shop,Electronics & IT 
DETAIL-000622,Monitor,monitor-19”-lcd,19” LCD,,Shop,Electronics & IT 
DETAIL-000279,Projector,projector-uhp-196w,UHP-196W,Qisda,Shop,Electronics & IT 
DETAIL-000280,Camera,camera-surveillance-camera,Surveillance camera,"Qisda, 1/6.9-inch, 3Lux",Shop,Electronics & IT 
DETAIL-000281,Pad,pad,,Acer,Shop,Electronics & IT 
DETAIL-000282,Camera,camera-digital,Digital,Quanta ,Shop,Electronics & IT 
DETAIL-000283,Tablet,tablet,,,Shop,Electronics & IT 
DETAIL-000284,CD-ROM,cd-rom,,,Shop,Electronics & IT 
DETAIL-000285,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, MP 6002SP",Shop,Electronics & IT 
DETAIL-000286,Printer,printer-high-speed-printer,High-speed Printer,Production Printer,Shop,Electronics & IT 
DETAIL-000287,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, Pro C7110S QX100",Shop,Electronics & IT 
DETAIL-000291,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, MP C5502G",Shop,Electronics & IT 
DETAIL-000292,Printer,printer-high-speed-printer,High-speed Printer,Mono-chrome,Shop,Electronics & IT 
DETAIL-000795,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, MP 6054SPG",Shop,Electronics & IT 
DETAIL-000796,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, MP C5503",Shop,Electronics & IT 
DETAIL-000293,Printer,printer-high-speed-printer,High-speed Printer,"Ricoh, MP C8002SP",Shop,Electronics & IT 
DETAIL-000294,Printer,printer-high-speed-printer,High-speed Printer,Full-colour,Shop,Electronics & IT 
DETAIL-000295,Printer,printer-multifunction-printer,Multifunction printer,"Ricoh, SP C352DN",Shop,Electronics & IT 
DETAIL-000296,Hard disk,hard-disk-4gb-lpddr2-sdram,4Gb LPDDR2 SDRAM,,Shop,Electronics & IT 
DETAIL-000297,Hard disk,hard-disk-64gb-nand-flash,64Gb NAND Flash,,Shop,Electronics & IT 
DETAIL-000298,Hard disk,hard-disk-4gb-lpddr3-sdram,4Gb LPDDR3 SDRAM,,Shop,Electronics & IT 
DETAIL-000299,PC,pc-notebook,Notebook,"Acer 15.6"" ",Shop,Electronics & IT 
DETAIL-000300,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5325",Shop,Electronics & IT 
DETAIL-000301,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5325",Shop,Electronics & IT 
DETAIL-000305,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5330",Shop,Electronics & IT 
DETAIL-000307,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5330",Shop,Electronics & IT 
DETAIL-000308,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5335",Shop,Electronics & IT 
DETAIL-000309,Printer,printer-color-laser-printer,Color Laser Printer,"Xerox, ColorQube 9200",Shop,Electronics & IT 
DETAIL-000310,Printer,printer-high-speed-printer,High-speed Printer,"Xerox, Phaser 6600",Shop,Electronics & IT 
DETAIL-000313,Printer,printer-multifunction-printer,Multifunction printer,"Xerox, WorkCentre 5945/5955",Shop,Electronics & IT 
DETAIL-000314,Printer,printer-high-speed-printer,High-speed Printer,"Xerox, Phaser 7100",Shop,Electronics & IT 
DETAIL-000315,Printer,printer-color-laser-printer,Color Laser Printer,"Xerox, ColorQube 8900",Shop,Electronics & IT 
DETAIL-000316,Printer,printer-color-laser-printer,Color Laser Printer,"Xerox, ColorQube 8870",Shop,Electronics & IT 
DETAIL-000805,Semi-finished,semi-finished-semi-finished-sheet,Semi-finished sheet,Hot rolled,Materials,Metals
DETAIL-000216,Cast,cast,,,Materials,Metals
DETAIL-000008,Alumina,alumina,,,Materials,Metals
DETAIL-000504,Coil,coil-organic-coated,Organic coated,,Materials,Metals
DETAIL-000318,Board packaging,board-packaging-paperboard-incada,"Paperboard, Incada",,Materials,Packaging 
DETAIL-001350,Board packaging,board-packaging-solid-bleached-board-invercote,"Solid Bleached Board, Invercote",,Materials,Packaging 
DETAIL-000124,Boxboard,boxboard,,,Materials,Packaging 
DETAIL-000534,Folding boxboard,folding-boxboard-185-350-gm²,185-350 g/m²,,Materials,Packaging 
DETAIL-000535,Folding boxboard,folding-boxboard-170-330-gm²,170-330 g/m²,,Materials,Packaging 
DETAIL-000536,Folding boxboard,folding-boxboard-215-240-gm²,215-240 g/m²,,Materials,Packaging 
DETAIL-000537,Folding boxboard,folding-boxboard-200-225-gm²,200-225 g/m²,,Materials,Packaging 
DETAIL-000538,Folding boxboard,folding-boxboard-235-gm²,235 g/m²,,Materials,Packaging 
DETAIL-000539,Folding boxboard,folding-boxboard-225-260-gm²,225-260 g/m²,,Materials,Packaging 
DETAIL-000540,Folding boxboard,folding-boxboard-270-gm²,270 g/m²,,Materials,Packaging 
DETAIL-000541,Folding boxboard,folding-boxboard-200-225gm²,200-225g/m²,,Materials,Packaging 
DETAIL-000542,Folding boxboard,folding-boxboard-205-380gm²,205-380g/m²,,Materials,Packaging 
DETAIL-000543,Folding boxboard,folding-boxboard-200-340-gm²,200-340 g/m²,,Materials,Packaging 
DETAIL-000544,Folding boxboard,folding-boxboard-205-355-gm²,205-355 g/m²,,Materials,Packaging 
DETAIL-000728,Packaging paper,packaging-paper-plug-wrap-26-grm2,"Plug wrap, 26 gr/m2",,Materials,Packaging 
DETAIL-000114,Board packaging,board-packaging-sbs-board,SBS Board,,Materials,Packaging 
DETAIL-000729,Packaging paper,packaging-paper-uncoated,Uncoated,,Materials,Packaging 
DETAIL-000731,Parade Prima,parade-prima,,,Materials,Metals
DETAIL-000730,Packaging paper,packaging-paper-one-side-coated-algro-helix,"One side coated, Algro Helix",,Materials,Packaging 
DETAIL-000813,Steel,steel-cold-rolled,Cold Rolled,,Materials,Metals
DETAIL-000814,Steel,steel-hot-rolled,Hot Rolled,,Materials,Metals
DETAIL-000815,Steel,steel-cold-rolled,Cold Rolled,,Materials,Metals
DETAIL-000816,Steel,steel-galvanised,Galvanised,,Materials,Metals
DETAIL-000505,Coil,coil-hot-rolled,Hot rolled,,Materials,Metals
DETAIL-000506,Coil,coil-cold-rolled,Cold rolled,,Materials,Metals
DETAIL-000507,Coil,coil-hot-dip-galvanised,Hot Dip Galvanised,,Materials,Metals
DETAIL-000797,Processed tomato,processed-tomato-fibre,Fibre,,Food,Ingredients
DETAIL-000798,Processed tomato,processed-tomato-paste,Paste,,Food,Ingredients
DETAIL-000799,Processed tomato,processed-tomato-powder,Powder,,Food,Ingredients
DETAIL-000827,Tomato,tomato-diced,Diced,,Food,Vegetables
DETAIL-000468,Coffee,coffee-cafe-au-lait,Cafe au Lait,,Food,Beverages
DETAIL-000550,Instant,instant-aji-ngon-pork,Aji-ngon Pork,,Food,Meals
DETAIL-000601,Instant,instant-ajinomoto,Ajinomoto,Shirogayu 250g,Food,Meals
DETAIL-000508,Instant,instant-cook-do®,Cook Do®,Kyo-no Ozara Butabara Daikon,Food,Meals
DETAIL-000552,Instant,instant-masako-ayam,Masako Ayam,,Food,Meals
DETAIL-000062,Amino food additives,amino-food-additives-monosodium-l-glutamate,Monosodium L-Glutamate,,Food,Supplements
DETAIL-000509,Instant,instant-cook-do®,Cook Do®,Hoikoro,Food,Meals
